nohup: ignoring input
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:21][获取index单例成功...][searcher.hpp 29]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 4950][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 5000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 5050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:40][当前已经建立的索引文档数目: 5100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5350][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5450][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:41][当前已经建立的索引文档数目: 5500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 5950][index.hpp 129]
